idx,venue_capacity,venue_name,venue_fuzzwuzz_score,venue_city,venue_country,venue_lat,venue_long,venue_dist_from_expected,sk_popularity,last_time_played,days_since_last_played,total_times_played_locally
5431,,Spot / De Oosterpoort,100,Groningen,Netherlands,53.21436,6.57557,0.021788241939525756,0.000378,,,0
5432,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.036903,2019-03-30,244,8
5433,,De Helling,100,Utrecht,Netherlands,52.07704,5.12194,0.023623349625814503,0.000228,2018-12-21,343,13
5434,,Poppodium Q-Factory,0,,,,,,0.000316,2019-05-29,184,4
5435,400,poppodium De Spot,100,Middelburg,Netherlands,51.49828,3.60856,0.0,,,,0
5436,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,0.00022738192040617337,0.000718,,,0
5437,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,,,,0
5438,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,,,,0
5439,1500,Effenaar Grote Zaal,100,Eindhoven,Netherlands,51.4415623,5.4833792,0.01680529741034607,,,,0
5440,,De Boerderij,100,Zoetermeer,Netherlands,52.0633251,4.4691837,0.0006209454469254021,3.9e-05,2019-09-20,70,8
5441,,P60,100,Amstelveen,Netherlands,52.302778,4.8586982,0.01864467754195927,,,,0
5442,850,Metropool,100,Hengelo,Netherlands,52.2611491,6.794387,8.061522996477105,0.004304,,,0
5443,280,Altstadt Eindhoven,100,Eindhoven,Netherlands,51.43634,5.48219,0.0,,,,0
5444,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.001174,2019-05-03,210,8
5445,,De Pul,100,Uden,Netherlands,51.6633111,5.610307,0.0004980577540305771,,2019-09-13,77,13
5446,,Melkweg Max,100,Amsterdam,Netherlands,52.37022,4.89517,1.1179689401007538,3.7e-05,2019-08-09,112,21
5447,2200,013,100,Tilburg,Netherlands,51.560596,5.0919143,0.3313272900498454,0.000365,2018-11-16,379,6
5448,,Melkweg Hele Gebouw,100,Amsterdam,Netherlands,52.36493,4.8817,0.031242338140755686,,,,0
5449,700,Gebr. de Nobel,100,Leiden,Netherlands,52.16307,4.4885,0.0,0.003803,2019-09-05,86,68
5450,,Dynamo,100,Eindhoven,Netherlands,51.4376604,5.4805452,0.0003356723410972805,,2011-04-22,3144,1
5451,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.004136,2018-12-22,343,127
5452,7900,TivoliVredenburg,100,Utrecht,Netherlands,52.09213,5.11285,0.0,0.000221,2019-08-25,97,15
5453,5500,AFAS Live,100,Amsterdam,Netherlands,52.31216,4.94467,0.04176316761981786,0.015998,2018-10-29,397,22
5454,975,"Grote Zaal, Patronaat",100,Haarlem,Netherlands,52.3829148,4.6289243,0.08146821030472554,0.001754,2019-06-15,168,50
5455,,De Pul,100,Uden,Netherlands,51.6633111,5.610307,0.0004980577540305771,,2017-12-03,727,1
5456,,Muziekgebouw Eindhoven,100,Eindhoven,Netherlands,51.43841,5.47987,0.0006931397355344913,,,,0
